"cve_ent_mun","fecha","confirmados","decesos","pruebas","indice_vulnerabilidad"
"01001","30/06/2020",1817,122,5980,"vulnerabilidad baja"
"01002","30/06/2020",28,2,97,"sin vulnerabilidad"
"01003","30/06/2020",36,1,178,"sin vulnerabilidad"
"01004","30/06/2020",42,0,91,"sin vulnerabilidad"
"01005","30/06/2020",73,2,386,"sin vulnerabilidad"
"01006","30/06/2020",92,5,244,"sin vulnerabilidad"
"01007","30/06/2020",129,3,432,"sin vulnerabilidad"
"01008","30/06/2020",23,0,89,"No Disponible"
"01009","30/06/2020",64,1,131,"sin vulnerabilidad"
"01010","30/06/2020",6,0,28,"sin vulnerabilidad"
"01011","30/06/2020",29,4,131,"vulnerabilidad baja"
"02001","30/06/2020",853,96,2036,"sin vulnerabilidad"
"02002","30/06/2020",4955,863,8533,"vulnerabilidad baja"
"02003","30/06/2020",229,45,417,"vulnerabilidad baja"
"02004","30/06/2020",2796,858,4727,"vulnerabilidad media"
"02005","30/06/2020",85,18,173,"vulnerabilidad media"
"03001","30/06/2020",150,10,348,"vulnerabilidad baja"
"03002","30/06/2020",235,5,541,"vulnerabilidad baja"
"03003","30/06/2020",545,31,2301,"sin vulnerabilidad"
"03008","30/06/2020",489,23,1460,"vulnerabilidad media"
"03009","30/06/2020",109,2,326,"vulnerabilidad baja"
"04001","30/06/2020",52,9,108,"vulnerabilidad media"
"04002","30/06/2020",685,53,1632,"vulnerabilidad baja"
"04003","30/06/2020",823,102,1708,"vulnerabilidad media"
"04004","30/06/2020",62,8,128,"vulnerabilidad baja"
"04005","30/06/2020",43,4,91,"vulnerabilidad media"
"04006","30/06/2020",20,2,47,"vulnerabilidad media"
"04007","30/06/2020",7,2,68,"vulnerabilidad media"
"04008","30/06/2020",22,2,48,"vulnerabilidad media"
"04009","30/06/2020",150,2,441,"vulnerabilidad baja"
"04010","30/06/2020",14,3,60,"vulnerabilidad media"
"04011","30/06/2020",38,4,99,"vulnerabilidad media"
"05001","30/06/2020",0,0,2,"No Disponible"
"05002","30/06/2020",355,18,1096,"sin vulnerabilidad"
"05003","30/06/2020",6,0,102,"sin vulnerabilidad"
"05004","30/06/2020",11,0,51,"sin vulnerabilidad"
"05005","30/06/2020",0,0,6,"sin vulnerabilidad"
"05006","30/06/2020",25,2,89,"sin vulnerabilidad"
"05007","30/06/2020",16,0,234,"vulnerabilidad baja"
"05008","30/06/2020",2,0,8,"vulnerabilidad baja"
"05009","30/06/2020",189,11,419,"sin vulnerabilidad"
"05010","30/06/2020",92,4,369,"sin vulnerabilidad"
"05011","30/06/2020",1,0,25,"sin vulnerabilidad"
"05012","30/06/2020",1,0,4,"vulnerabilidad baja"
"05013","30/06/2020",0,0,5,"vulnerabilidad media"
"05014","30/06/2020",3,2,8,"vulnerabilidad baja"
"05015","30/06/2020",2,1,4,"sin vulnerabilidad"
"05016","30/06/2020",0,0,45,"sin vulnerabilidad"
"05017","30/06/2020",163,15,641,"vulnerabilidad baja"
"05018","30/06/2020",362,46,1635,"sin vulnerabilidad"
"05019","30/06/2020",3,1,28,"sin vulnerabilidad"
"05020","30/06/2020",68,4,335,"sin vulnerabilidad"
"05021","30/06/2020",3,0,19,"sin vulnerabilidad"
"05022","30/06/2020",12,0,124,"sin vulnerabilidad"
"05023","30/06/2020",30,0,119,"sin vulnerabilidad"
"05024","30/06/2020",27,1,258,"sin vulnerabilidad"
"05025","30/06/2020",185,5,2432,"vulnerabilidad media"
"05026","30/06/2020",1,0,13,"sin vulnerabilidad"
"05027","30/06/2020",23,0,151,"sin vulnerabilidad"
"05028","30/06/2020",186,0,571,"sin vulnerabilidad"
"05029","30/06/2020",27,2,156,"sin vulnerabilidad"
"05030","30/06/2020",576,23,4458,"sin vulnerabilidad"
"05031","30/06/2020",8,4,59,"sin vulnerabilidad"
"05032","30/06/2020",141,1,511,"sin vulnerabilidad"
"05033","30/06/2020",340,17,761,"sin vulnerabilidad"
"05034","30/06/2020",0,0,2,"vulnerabilidad baja"
"05035","30/06/2020",1689,72,7241,"vulnerabilidad media"
"05036","30/06/2020",6,0,32,"vulnerabilidad baja"
"05037","30/06/2020",10,1,49,"sin vulnerabilidad"
"05038","30/06/2020",10,1,25,"sin vulnerabilidad"
"06001","30/06/2020",10,3,40,"vulnerabilidad baja"
"06002","30/06/2020",43,3,300,"sin vulnerabilidad"
"06003","30/06/2020",3,0,31,"vulnerabilidad baja"
"06004","30/06/2020",7,1,20,"vulnerabilidad baja"
"06005","30/06/2020",9,1,24,"sin vulnerabilidad"
"06006","30/06/2020",4,1,16,"vulnerabilidad baja"
"06007","30/06/2020",359,46,610,"vulnerabilidad baja"
"06008","30/06/2020",1,0,3,"vulnerabilidad baja"
"06009","30/06/2020",71,8,222,"vulnerabilidad baja"
"06010","30/06/2020",44,1,221,"vulnerabilidad baja"
"07001","30/06/2020",2,0,6,"vulnerabilidad media"
"07002","30/06/2020",18,7,26,"vulnerabilidad baja"
"07003","30/06/2020",8,1,14,"vulnerabilidad alta"
"07004","30/06/2020",12,1,20,"vulnerabilidad media"
"07005","30/06/2020",1,0,3,"vulnerabilidad media"
"07006","30/06/2020",4,0,8,"vulnerabilidad baja"
"07007","30/06/2020",0,0,0,"vulnerabilidad media"
"07008","30/06/2020",1,0,4,"vulnerabilidad baja"
"07009","30/06/2020",48,8,70,"vulnerabilidad media"
"07010","30/06/2020",1,0,1,"vulnerabilidad media"
"07011","30/06/2020",2,0,2,"vulnerabilidad media"
"07012","30/06/2020",45,3,61,"vulnerabilidad alta"
"07013","30/06/2020",27,4,41,"vulnerabilidad baja"
"07014","30/06/2020",2,0,4,"vulnerabilidad baja"
"07015","30/06/2020",20,3,42,"vulnerabilidad media"
"07016","30/06/2020",6,0,12,"vulnerabilidad baja"
"07017","30/06/2020",11,4,40,"vulnerabilidad baja"
"07018","30/06/2020",2,0,5,"vulnerabilidad baja"
"07019","30/06/2020",109,16,193,"vulnerabilidad media"
"07020","30/06/2020",5,2,8,"vulnerabilidad media"
"07021","30/06/2020",2,1,6,"vulnerabilidad baja"
"07022","30/06/2020",0,0,0,"vulnerabilidad media"
"07023","30/06/2020",1,1,2,"vulnerabilidad alta"
"07024","30/06/2020",0,0,1,"vulnerabilidad media"
"07025","30/06/2020",1,1,1,"vulnerabilidad baja"
"07026","30/06/2020",2,0,4,"vulnerabilidad alta"
"07027","30/06/2020",128,27,198,"vulnerabilidad media"
"07028","30/06/2020",4,1,9,"vulnerabilidad baja"
"07029","30/06/2020",2,0,2,"vulnerabilidad baja"
"07030","30/06/2020",4,1,8,"vulnerabilidad media"
"07031","30/06/2020",2,0,8,"vulnerabilidad media"
"07032","30/06/2020",6,0,10,"vulnerabilidad media"
"07033","30/06/2020",0,0,1,"vulnerabilidad baja"
"07034","30/06/2020",28,2,46,"vulnerabilidad alta"
"07035","30/06/2020",4,0,10,"vulnerabilidad alta"
"07036","30/06/2020",1,1,1,"vulnerabilidad media"
"07037","30/06/2020",29,5,39,"vulnerabilidad alta"
"07038","30/06/2020",2,1,3,"vulnerabilidad media"
"07039","30/06/2020",0,0,2,"vulnerabilidad media"
"07040","30/06/2020",85,12,133,"vulnerabilidad alta"
"07041","30/06/2020",6,1,9,"vulnerabilidad media"
"07042","30/06/2020",4,0,6,"vulnerabilidad baja"
"07043","30/06/2020",7,1,9,"vulnerabilidad alta"
"07044","30/06/2020",3,1,7,"vulnerabilidad baja"
"07045","30/06/2020",6,4,7,"vulnerabilidad media"
"07046","30/06/2020",5,2,15,"vulnerabilidad media"
"07047","30/06/2020",4,1,8,"vulnerabilidad media"
"07048","30/06/2020",19,6,31,"vulnerabilidad media"
"07049","30/06/2020",0,0,1,"vulnerabilidad media"
"07050","30/06/2020",1,0,4,"vulnerabilidad alta"
"07051","30/06/2020",23,5,33,"vulnerabilidad alta"
"07052","30/06/2020",13,1,35,"vulnerabilidad media"
"07053","30/06/2020",3,0,5,"vulnerabilidad baja"
"07054","30/06/2020",8,1,29,"vulnerabilidad media"
"07055","30/06/2020",4,1,6,"vulnerabilidad media"
"07056","30/06/2020",0,0,1,"vulnerabilidad alta"
"07057","30/06/2020",42,9,61,"vulnerabilidad media"
"07058","30/06/2020",4,1,4,"vulnerabilidad baja"
"07059","30/06/2020",60,14,103,"vulnerabilidad media"
"07060","30/06/2020",1,0,5,"vulnerabilidad baja"
"07061","30/06/2020",69,10,117,"vulnerabilidad alta"
"07062","30/06/2020",8,0,11,"vulnerabilidad media"
"07063","30/06/2020",1,0,1,"vulnerabilidad baja"
"07064","30/06/2020",1,0,3,"vulnerabilidad media"
"07065","30/06/2020",89,8,164,"vulnerabilidad baja"
"07066","30/06/2020",0,0,0,"vulnerabilidad media"
